Alt(m)	T(K)	P(Pa)	RelH(%)
-600	292.05	108870	77
0	288.15	101330	77
600	280.29	95618	59.295
1200	277.93	88898	55.07
1800	274.82	82731	70.608
2400	270.85	78842	74.028
3000	267.07	78952	77.447
3600	264.93	56275	64.481
4200	252.78	51599	51.655
4800	260.63	56922	38.368
5400	258.49	52245	25.2625
6000	254.32	48211	28.88
6600	249.14	44498	40.65
7200	243.96	48786	52.45
7800	238.87	37717	37.56
8400	233.77	34649	22.63
9000	228.68	31588	7.39
9600	223.87	28832	1.87
10200	218.97	26243	0.6165
10800	216.1	23933	0.1355
11400	214.2	21762	0.060707
12000	213.26	19755	0.009702
12600	214.25	18075	0.0062739
13200	215.22	16394	0.0028455
13800	215.96	14879	0.00051797
14400	216.13	13692	0.00039199
15000	216.3	12505	0.00026602
15600	216.47	11319	0.00014004
16200	216.64	10133	0.000014067
16800	216.65	9824.5	0.000015439
17400	216.65	8516	6.81e-6
18000	216.66	7788.4	1.181e-6
18600	216.66	6978.1	6.947e-7
19200	216.66	6433.4	4.929e-7
19800	216.66	5825.6	2.910e-7
20400	216.66	5253.8	8.9156e-8
21000	216.51	4812.4	1.922e-8
21600	216.3	4437.7	1.5246e-8
22200	216.08	4053.8	1.1272e-8
22800	215.86	3688.3	7.2583e-9
23400	215.64	3313.5	3.3246e-9
24000	215.79	2884.7	6.25355e-10
24800	216.67	2747.7	4.7485e-10
25200	217.56	2510.7	3.2434e-10
25800	218.44	2273.7	1.7583e-10
26400	219.32	2086.7	2.3328e-11
27000	220.41	1902.2	2.0301e-11
27600	221.49	1767.65	1.7275e-11
28200	222.57	1633.1	1.4245e-11
28800	223.65	1488.55	1.1218e-11
29400	224.78	1229.4	5.1899e-12
30000	225.82	1164	5.1622e-12
30600	226.9	1094.9	0.021345
31200	228.07	995.42	0.042105
31800	229.43	966.19	0.168425
32400	230.79	935.57	0.29474
33000	232.15	907.75	0.4210
33600	233.51	878.53	0.54757
34200	234.87	849.33	0.67366
34800	236.22	825.08	0.86004
35400	237.58	798.86	0.92632
36000	238.94	761.54	1.0525
36600	240.3	732.41	1.1789
37200	241.66	703.19	1.3053
37800	243.02	673.97	1.4315
38400	244.38	544.75	1.5579
39000	245.74	515.52	1.6842
39600	247.1	508.37	1.8105
40200	248.45	557.08	1.9365
40800	249.81	527.36	2.0632
41400	251.17	498.53	2.1895
42000	252.53	469.41	2.3158
42600	253.89	440.19	2.4421
43200	255.25	410.97	2.5684
43800	256.61	381.74	2.5947
44400	257.97	352.52	2.8211
45000	259.33	323.3	2.9474
45600	260.68	294.08	3.0737
46200	262.04	254.85	3.2
46800	263.4	235.63	3.3263
47400	264.76	206.41	3.4526
48000	266.12	177.19	3.5789
48600	267.48	147.96	3.7053
49200	268.84	118.74	3.8316
49800	270.2	89.52	3.9579
