Alt(m)	T(K)	P(Pa)	RelH(%)
0	298.15	101970	51
600	294.1685413	94907.87269	51
1200	286.1443708	89557.88978	39.27331169
1800	283.7350779	83263.79223	36.47493506
2400	280.5601198	77487.64646	46.76633766
3000	276.5071991	73845.12483	49.03153247
3600	272.6482469	73948.15321	51.29606494
4200	270.463549	52708.38385	42.70819481
4800	258.059774	48328.74098	34.21305195
5400	266.0737357	53314.37807	25.41257143
6000	263.8890378	48933.79857	16.73230519
6600	259.6319397	45155.4668	19.12831169
7200	254.3437459	41677.79058	26.92402597
7800	249.0555521	45694.02425	34.73961039
8400	243.8592381	35326.55911	24.8774026
9000	238.6527153	32453.00386	14.9887013
9600	233.4564013	29586.00496	4.894675325
10200	228.5459356	27004.67567	1.238571429
10800	223.5435901	24579.76219	0.408331169
11400	220.6136449	22416.16616	0.089746753
12000	218.6739599	20382.76054	0.040208532
12600	217.7143263	18502.96087	0.006426
13200	218.7250043	16929.43648	0.00415544
13800	219.7152645	15354.97548	0.001884682
14400	220.4707208	13935.99366	0.000343071
15000	220.6442715	12824.22375	0.00025963
15600	220.8178223	11712.45384	0.000176195
16200	220.9913731	10601.62056	9.27538E-05
16800	221.1649238	9490.787269	9.3171E-06
17400	221.1751327	9201.839487	1.02258E-05
18000	221.1751327	7976.270047	4.51052E-06
18600	221.1853416	7294.784128	7.82221E-07
19200	221.1853416	6535.839598	4.60126E-07
19800	221.1853416	6025.66178	3.26466E-07
20400	221.1853416	5456.383136	1.9274E-07
21000	221.1853416	4920.822871	5.90514E-08
21600	221.0322085	4507.398071	1.27301E-08
22200	220.8178223	4156.445936	1.0098E-08
22800	220.5932272	3796.876881	7.46587E-09
23400	220.3686321	3454.541664	4.80745E-09
24000	220.144037	3103.495867	2.20201E-09
24600	220.29717	2701.872499	4.14196E-10
25200	221.1955504	2573.555332	3.14511E-10
25800	222.1041397	2351.575999	2.14823E-10
26400	223.0025201	2129.596666	1.16459E-10
27000	223.9009005	1954.448416	1.5451E-11
27600	225.0136672	1781.641719	1.34461E-11
28200	226.116225	1655.619275	1.14419E-11
28800	227.2187827	1529.596831	9.435E-12
29400	228.3213405	1394.20817	7.4301E-12
30000	229.4749426	1151.482667	3.43747E-12
30600	230.536665	1090.227611	3.41912E-12
31200	231.6392227	1025.507054	0.014137597
31800	232.8336603	932.3319317	0.027887727
32400	234.2220664	904.9544806	0.111554221
33000	235.6104725	876.2751254	0.195217403
33600	236.9988786	850.2183108	0.278844156
34200	238.3872847	822.850226	0.362676234
34800	239.7756908	795.5008735	0.44619039
35400	241.153888	772.7877983	0.569636883
36000	242.5422941	748.2295784	0.613536623
36600	243.9307002	713.2748581	0.69711039
37200	245.3191063	685.9910692	0.78082987
37800	246.7075124	658.6229843	0.864549351
38400	248.0959185	631.2548994	0.948136364
39000	249.4843246	510.2246487	1.031855844
39600	250.8727307	482.8471976	1.115509091
40200	252.2611368	476.1503527	1.199162338
40800	253.639334	521.7731937	1.282616883
41400	255.0277401	493.936798	1.366535065
42000	256.4161462	466.9339956	1.450188312
42600	257.8045523	439.6595729	1.533841558
43200	259.1929584	412.291488	1.617494805
43800	260.5813645	384.9234031	1.701148052
44400	261.9697706	357.5459521	1.718567532
45000	263.3581767	330.1778672	1.868520779
45600	264.7465828	302.8097823	1.952174026
46200	266.12478	275.4416974	2.035827273
46800	267.5131861	238.6980298	2.119480519
47400	268.9015922	220.6961615	2.203133766
48000	270.2899983	193.3280766	2.286787013
48600	271.6784044	165.9599917	2.37044026
49200	273.0668105	138.5825406	2.45415974
49800	274.4552166	111.2144558	2.537812987
